2.0.gravity_bar	5.0 0.275
2.0.gravz	21.0 1.235
2.0.hotels_travel	4.0 0.428
2.0.juegos_gratis_gravity_hook_hd	49.0 39.886
2.0.mannat_ravi	2.0 0.108
2.0.non_pagare_l'iva_per_sopravvivere_al_fisco	15.0 12.64
2.0.patravadi	4.0 0.416
2.0.precious_pandas_zoo_soul_travelers	3.0 2.937
2.0.raven_morgana	2.0 0.994
2.0.red_raven	1.0 0.818
2.0.shravani_mela	1.0 0.48
2.0.slytherin_ravenclaw	98.0 3.822
2.0.supravietuire	1.0 0.099
2.0.traveler_guitar	23.0 4.213
2.0.travess_smalley	3.0 0.552
2.0.zdravodj	3.0 0.54
2.1.cheese_gravy	15.0 0.645
2.1.francesco_gravina	1.0 0.072
2.1.frommers.com_community_travel	9.0 4.76
2.1.grand_traverse_regional_land_conservancy	11.0 4.265
2.1.johnny_bravo	1432.0 887.829
2.1.kelly_ciravolo	1.0 0.045
2.1.pakistan_fashion_extravaganza	27.0 2.274
2.1.prosciutto_ravioli	12.0 5.555
2.1.rava_sheera	28.0 20.516
2.1.t_g_ravi	3.0 0.072
2.1.tourbillon_gravity	1.0 0.052
2.1.travel_destination_ireland	1.0 0.374
2.1.travel_leaders	10.0 0.75
2.1.travelling_allowance	1.0 0.397
4.0.accident_grav	264.0 74.519
4.0.airline_travel_feel_less	1.0 0.236
4.0.american_veterans_traveling	1.0 0.044
4.0.amtrak_travel_discounts	21.0 1.974
4.0.benz_travego	3.0 1.545
4.0.billion_graves_app	3.0 0.186
4.0.bravo_producers_bashing_teresa	20.0 8.72
4.0.cole_travel	2.0 0.104
4.0.contact_caesars_italian_restaurant_gravesend	2.0 0.212
4.0.cosas_maravillosas	3.0 0.231
4.0.crazy_food_cravings	3.0 1.044
4.0.dnata_travel_services	1.0 0.084
4.0.france_vacation_soul_travelers	1.0 0.793
4.0.gravelveins	1.0 0.188
4.0.gravitacin	1.0 0.085
4.0.indian_extravaganza	9.0 5.184
4.0.intravenous_sedation	6.0 0.162
4.0.italy_travel	55.0 2.742
4.0.mend_brave_lauren_scruggs	2.0 0.742
4.0.mercedes_casaravilla	2.0 1.778
4.0.morgan_graveline	1.0 0.07
4.0.pravachol	6.0 0.714
4.0.ravensgameplan	1.0 0.138
4.0.revolver_machine_engraved	8.0 4.72
4.0.seoul_travel_map	1.0 0.426
4.0.tanzania_travel_map	1.0 0.602
4.0.travel_suggestions	8.0 5.272
